Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
Isla De Maipo;13;7,7;455148,8438;15,19999981;5,092700958;9,787799835;0,738809228;20,86049461;6,910038948
Padre Hurtado;13;4,3;491110,375;12,80000019;4,216248989;6,550000191;6,989779472;21,82657433;10,08902073
Peñaflor;13;10,9;531092;15,39999962;5,13465023;6,651299953;1,147540927;24,79508209;10,16393471
Valdivia;14;16,3;502899,5938;15,19999981;5,659716606;7,942399979;2,977695942;27,16716576;12,88802052
Corral;14;21;395552,875;15,30000019;4,198518753;1,401800036;0,821917832;28,21917725;20
Lanco;14;17,9;416136,8125;14,39999962;6,090250969;6,690999985;1,973684192;26,68128586;12,5
Los Lagos;14;16,5;376941,375;12,10000038;5,183218002;10,21049976;2,432610035;25,90401077;14,20118332
Máfil;14;14,8;383651,3438;13;6,336610317;6,651000023;1,992031932;22,90836716;8,964143753
Mariquina;14;19,4;374935,125;17,60000038;6,233548164;7,453199863;2,780692577;24,76390266;13,64113331
Paillaco;14;19,6;350665,7813;14,39999962;6,37616539;7,681600094;2,917152882;25,90431786;10,85180855
Panguipulli;14;21,2;359095,2188;14,10000038;5,893165112;9,440099716;1,651186824;29,44616508;13,00309563
La Unión;14;18,7;399299,375;13,80000019;5,807654858;7,841199875;0,520156026;29,30212402;16,47160721
Futrono;14;13,7;370019,3125;13,69999981;5,287835121;8,405599594;1,051779985;25,97087288;12,62135887
Lago Ranco;14;18,8;352034;10,19999981;6,706218719;10,26840019;3,225806475;27,79156303;9,92555809
Rio Bueno;14;18;370749,0938;12;5,924879074;11,16380024;3,065490246;20,66883469;10,35764027
Arica;15;15,7;547114;20,10000038;4,792172909;7,23210001;1,68206048;24,08200073;9,461590767
Camarones;15;11,3;400927,7188;1,200000048;0,512588024;0;0;32,35293961;2,941176414
Putre;15;22,5;466008,9688;3;1,795156002;9,576399803;1,923076868;27,88461494;2,884615421
General Lagos;15;21,8;327038,4375;0,800000012;0,836605966;153,2220001;27,77777863;27,77777863;0
