Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
Concepción;8;21,5;613677,6875;12,60000038;5,044516087;10,45829964;1,926089764;21,44502831;10,55202293
Coronel;8;23,1;474581,4688;15;5,114666939;9,56000042;2,713375807;23,65605164;10,81528664
Chiguayante;8;11,1;555852,6875;10,80000019;3,940354109;7,876299858;2,427404881;24,81851196;9,142468452
Florida;8;20,5;379648,7813;12,69999981;5,491466045;6,373700142;3,475513458;23,53870392;8,37282753
Hualqui;8;30,8;441534,1875;17,89999962;5,686395168;7,843400002;2,32997489;26,07052803;11,08312321
Lota;8;27,2;415001,2813;16,29999924;6,361953259;8,843000412;2,433682203;24,36115837;9,953760147
Penco;8;28,1;464256,2188;12,19999981;5,012732983;8,635899544;2,886045694;24,72478485;11,18714714
San Pedro De La Paz;8;18,7;590468,125;21,29999924;4,852003098;7,980800152;1,561420441;26,29542542;8,995440483
Santa Juana;8;26;425959,625;14,60000038;6,10267067;7,47329998;1,486620426;27,45292282;12,78493595
Talcahuano;8;19,5;547362,875;13;4,765531063;7,250999928;3,450989246;24,14568329;12,61241055
Tomé;8;25,8;417254,625;12,39999962;5,121922016;7,54460001;3,407755613;24,26556969;10,60517025
Hualpén;8;19,9;520496,875;14,69999981;4,275371075;7,153900146;3,068399906;23,26869774;9,73790741
Lebu;8;34,3;335249,8438;15,30000019;5,864772797;8,676699638;3,137789726;26,10277367;12,46020889
Arauco;8;24,3;488156,4688;12,89999962;4,875887871;11,98330021;2,283267975;24,25972176;9,133071899
Cañete;8;33,8;396441,5938;14,80000019;5,374910831;12,03569984;2,407286882;24,26805496;13,92322731
Contulmo;8;27,8;321380,4063;14,30000019;5,969920158;17,81570053;1,059322;24,57627106;11,65254211
Curanilahue;8;25,4;394251,8125;16,60000038;5,805277824;10,21720028;3,033401489;24,26721191;9,986366272
Los Alamos;8;41,3;372128,125;15,30000019;6,017231941;12,47539997;1,967038751;20,09569359;13,02498627
Tirúa;8;34,3;295150,375;16,20000076;5,843933582;14,38119984;1,524390221;33,23170853;14,4308939
Los Ángeles;8;17,2;477742,5938;14,60000038;5,179807663;9,189800262;2,629685879;26,16097832;11,10223007
Antuco;8;22,2;623234,625;13,60000038;5,470460892;3,578200102;1,2012012;25,22522545;7,807807922
Cabrero;8;31;440700,375;11,80000019;4,881343842;9,197299957;2,345511913;19,98195839;8,570139885
Laja;8;18,5;623130,375;15,80000019;5,246547222;7,500299931;1,537645817;27,8366909;11,13467693
Mulchén;8;22,9;388748,0313;16,20000076;5,603779793;7,872399807;2,475247622;27,99279976;14,31143093
Nacimiento;8;24,9;541870,5625;15,19999981;5,273265839;8,38599968;4,724750519;26,00780296;12,05028152
Negrete;8;25,7;440492,0625;14,39999962;5,640455723;11,49279976;3,949224234;23,83638954;14,95063496
Quilaco;8;22,5;448399,3438;9,800000191;4,658784866;8,474599838;0;26,8292675;8,536585808
Quilleco;8;23,4;430892,7813;11,39999962;4,366792679;8,934599876;2,162162304;30,67567635;9,189188957
San Rosendo;8;34,1;610631,0625;14,19999981;6,066390991;8,577699661;2,684563875;26,1744957;7,718120575
Santa Bárbara;8;18,2;427335,8438;13,39999962;4,200788021;6,238299847;2,052238703;28,63805962;13,52611923
Tucapel;8;23;463646,0625;11,60000038;5,608521938;5,38409996;2,744739294;24,2451973;11,07044792
Yumbel;8;28,3;423483,9375;10,19999981;5,718109608;9,03880024;1,597676158;26,0711689;12,85403061
Alto Biobío;8;16,4;399444,4375;19,29999924;3,705692053;9,398099899;2,879581213;27,48691177;9,162303925
Chillan;8;17,7;465626,9063;14,39999962;5,457281113;8,230199814;2,134359598;26,14590645;10,50559807
Bulnes;8;21,1;394406,5938;12,30000019;6,185706615;11,33440018;1,119403005;24,44029808;11,62935352
Cobquecura;8;17,7;312969,25;10;5,436738968;13,69939995;1,006711483;24,83221436;12,41610718
Coelemu;8;24,8;405310,3125;13,5;6,073062897;10,99370003;2,53759408;25,84586525;12,5
Coihueco;8;32,9;329584,9375;13,80000019;5,258386135;7,580699921;1,564722657;27,88051224;12,04362297
Chillan Viejo;8;17,6;424604,8125;13,89999962;4,537074089;7,826700211;3,616352081;27,46331215;9,224318504
El Carmen;8;22,9;355652,0313;14,30000019;6,326941967;13,07579994;0,986842096;24,34210587;13,04824543
Ninhue;8;21,1;337733,25;7,900000095;7,01831007;7,188499928;1,023890734;21,50170708;8,873720169
Ñiquén;8;15,6;357198,6875;11;5,334677696;7,461500168;1,883830428;20,25117683;7,692307472
Pemuco;8;20;373179,625;11,39999962;5,41685915;8,689700127;2,310924292;26,05042076;9,033613205
Pinto;8;21,2;366491,6875;12,39999962;5,876688004;8,882399559;3,059975386;16,8910656;9,547123909
Portezuelo;8;18,3;324537,2188;10,80000019;8,016524315;10,88430023;0,964630246;24,11575508;7,395498276
Quillón;8;15,7;385921,1875;10,80000019;5,266884804;9,17440033;2,36220479;25,54680634;12,0734911
Quirihue;8;24,6;345767,5625;12;6,484172821;6,431200027;1,283547282;21,93698883;12,48541451
Ránquil;8;15,1;413158,375;13,89999962;6,69922781;8,22179985;1,960784316;25,21008492;9,243697166
San Carlos;8;22,3;377749,1563;12,60000038;6,039590836;9,201299667;3,510378599;25,97680092;10,07326031
San Fabián;8;23,5;306477,6563;11,19999981;4,664812088;4,377699852;3,947368622;26,97368431;6,25
San Ignacio;8;24,3;331130,5938;9,199999809;6,327902794;10,01570034;1,655306697;20,74001884;8,373904228
San Nicolás;8;24,5;351088,9688;9,800000191;4,541119099;9,373200417;1,697312593;17,25601196;11,03253174
Treguaco;8;24,8;353443,8438;8,100000381;6,013334751;22,36619949;4,406779766;28,81355858;8,474575996
Yungay;8;18,4;437505,1563;11,69999981;5,69826889;9,264200211;5,160142422;21,26334572;11,65480423
Temuco;9;17,7;509196,4063;13,5;5,224431992;8,516900063;2,266051292;26,84491348;11,55805969
Carahue;9;31,6;353056,5313;12,89999962;6,319584846;10,93519974;1,586489201;27,17502594;12,23132038
Cunco;9;27,7;359742,4063;11,39999962;5,414577007;7,376999855;1,622060061;28,06163788;13,86861324
Curarrehue;9;26,1;351249,5625;11,30000019;5,111021996;5,967700005;1,941747546;29,61165047;12,29773426
Freire;9;30,9;354265,9688;13;5,413794041;12,76010036;1,720183492;33,83027649;11,81192684
